1574735271.7545273,"(711, 374)","(1206, 223)",None,"(0, 0, 0)"
1574735277.9524314,"(1176, 309)","(774, 254)","(710, 260)","(4732, 391, 885)"
1574735283.947076,"(1032, 466)","(950, 362)","(873, 289)","(2626, 453, 1532)"
1574735290.117523,"(1254, 320)","(732, 274)","(605, 318)","(5626, 645, 1196)"
1574735296.1513038,"(1278, 295)","(621, 279)","(516, 390)","(6811, 233, 1375)"
1574735302.3479567,"(1066, 395)","(1039, 252)","(847, 176)","(2193, 1074, 647)"
1574735308.352147,"(920, 454)","(990, 353)",None,"(1847, 25, 1245)"
1574735314.5455322,None,"(1122, 364)",None,"(1340, 1114, 1443)"
1574735320.5538025,"(1311, 322)","(666, 288)","(494, 395)","(6657, 661, 1515)"
1574735326.7499766,"(1066, 366)","(869, 291)","(837, 246)","(3382, 238, 998)"
1574735332.757939,"(796, 582)","(1142, 438)","(1032, 266)","(455, 101, 1695)"
1574735338.7495685,"(962, 426)","(1036, 298)","(923, 205)","(1772, 491, 891)"
1574735344.9470036,"(1327, 198)","(736, 147)",None,"(5937, 1059, 107)"
1574735351.1499648,"(1214, 356)","(904, 252)","(704, 228)","(3876, 1240, 856)"
1574735357.3473885,"(1273, 313)","(825, 231)","(623, 238)","(4866, 1193, 800)"
1574735363.5434353,"(1207, 335)","(754, 276)","(665, 301)","(5091, 476, 1160)"
1574735369.554333,"(1056, 479)","(1036, 332)","(853, 246)","(2171, 1033, 1318)"
1574735375.5499458,None,"(618, 166)","(543, 227)","(6521, 113, 253)"
1574735381.7451,"(1112, 329)","(906, 237)","(797, 192)","(3346, 689, 605)"
1574735387.7452188,"(739, 476)","(1182, 323)","(1058, 173)","(130, 18, 761)"
1574735393.9499357,"(1305, 235)","(764, 174)","(556, 197)","(5574, 1084, 329)"
1574735399.945338,"(1301, 299)","(757, 238)","(560, 281)","(5666, 1038, 939)"
1574735405.9480488,"(1276, 250)","(688, 211)","(556, 270)","(6094, 564, 686)"
1574735412.1473465,"(1087, 393)","(936, 286)","(822, 232)","(3004, 696, 1004)"
1574735418.15302,"(941, 465)","(965, 372)","(946, 275)","(2089, 11, 1443)"
1574735424.358142,"(1335, 265)","(712, 216)","(490, 274)","(6285, 1020, 797)"
1574735430.3541086,"(1353, 355)","(720, 295)","(473, 388)","(6438, 1197, 1650)"
1574735436.3778644,"(1090, 328)","(880, 246)","(816, 205)","(3406, 431, 667)"
1574735442.552864,"(1174, 356)","(709, 317)","(700, 361)","(5250, 54, 1501)"
1574735448.552063,"(1158, 297)","(726, 258)","(720, 280)","(4968, 52, 915)"
1574735454.75146,"(988, 484)","(1051, 347)",None,"(1764, 719, 1317)"
1574735460.9481347,"(936, 360)","(1073, 224)",None,"(1466, 535, 293)"
1574735467.1538873,"(1245, 291)","(762, 228)","(629, 248)","(5232, 739, 759)"
1574735473.1550493,"(787, 369)","(1139, 231)","(1031, 115)","(566, 72, 183)"
1574735479.151843,"(1317, 258)","(637, 237)","(464, 328)","(6912, 554, 978)"
1574735485.1465394,"(1055, 458)","(899, 371)","(850, 315)","(3097, 327, 1693)"
1574735491.392404,"(1025, 414)","(1011, 287)","(876, 207)","(2209, 725, 890)"
1574735497.5545967,"(860, 389)","(1088, 258)",None,"(1076, 201, 452)"
1574735503.7205095,"(1255, 295)","(749, 240)","(611, 270)","(5428, 722, 890)"
1574735509.7550259,"(1296, 332)","(772, 266)",None,"(5516, 1090, 1181)"
1574735515.9505293,"(1202, 442)","(890, 333)","(716, 324)","(3978, 1127, 1641)"
1574735521.9542897,"(1324, 261)","(684, 221)","(487, 291)","(6495, 818, 849)"
1574735528.115751,"(1280, 233)","(823, 158)","(621, 160)","(4856, 1208, 130)"
1574735534.153593,"(924, 421)","(1033, 301)","(952, 202)","(1623, 269, 857)"
1574735540.3194947,"(1147, 315)","(913, 215)","(768, 176)","(3458, 904, 471)"
1574735546.369176,"(976, 399)","(1028, 274)",None,"(1887, 528, 714)"
1574735552.5549164,"(998, 434)","(1128, 264)",None,"(1360, 1131, 628)"
1574735558.7452958,"(808, 559)","(1111, 429)",None,"(673, 0, 1624)"
1574735564.7633858,"(1199, 374)","(728, 330)","(672, 381)","(5290, 307, 1676)"
1574735570.962018,"(1177, 280)","(764, 222)","(703, 228)","(4766, 351, 610)"
1574735577.1474402,"(1141, 280)","(838, 207)","(758, 183)","(3987, 524, 421)"
1574735583.3496048,"(1019, 380)","(1128, 209)","(880, 125)","(1454, 1243, 254)"
1574735589.5502808,"(902, 499)","(1261, 272)","(949, 146)","(247, 1286, 599)"
1574735595.5473077,"(967, 369)","(1015, 251)","(920, 165)","(1926, 422, 534)"
1574735601.545563,"(972, 492)","(1070, 346)",None,"(1583, 721, 1287)"
1574735607.5481818,"(1248, 421)","(870, 317)","(665, 320)","(4389, 1300, 1557)"
1574735613.752803,"(1326, 197)","(628, 174)","(444, 245)","(6979, 558, 399)"
1574735619.9482427,"(1027, 354)","(925, 258)","(872, 201)","(2781, 315, 680)"
1574735625.944428,"(1055, 482)","(1060, 325)","(858, 235)","(1990, 1120, 1242)"
1574735632.1479683,"(1296, 334)","(754, 272)","(565, 328)","(5697, 1005, 1273)"
1574735638.3529613,"(818, 515)","(1131, 370)","(1019, 224)","(631, 170, 1212)"
1574735644.550024,"(910, 531)","(1109, 374)",None,"(1101, 573, 1411)"
1574735650.548182,"(853, 511)","(1061, 393)","(1003, 258)","(1135, 5, 1448)"
1574735656.7491748,"(1229, 300)","(634, 284)","(596, 377)","(6301, 2, 1329)"
1574735662.9543126,"(1274, 290)","(640, 269)","(532, 363)","(6588, 289, 1255)"
1574735668.950024,"(940, 438)","(1124, 280)","(933, 169)","(1161, 815, 673)"
1574735675.1511562,"(1054, 475)","(1005, 341)","(855, 262)","(2374, 857, 1399)"
1574735681.1488461,"(1345, 330)","(725, 277)","(485, 353)","(6313, 1163, 1383)"
1574735687.350235,"(1086, 434)","(869, 353)","(820, 316)","(3483, 353, 1604)"
1574735693.3513346,"(1101, 463)","(1021, 315)","(819, 241)","(2464, 1198, 1239)"
1574735699.3579676,"(1141, 310)","(869, 227)","(767, 196)","(3757, 664, 571)"
1574735705.5449781,"(921, 495)","(1046, 368)","(956, 255)","(1510, 313, 1377)"
1574735711.5486174,"(1205, 334)","(870, 242)","(702, 225)","(4119, 1021, 797)"
1574735717.756593,"(1156, 457)","(910, 347)","(762, 312)","(3548, 970, 1661)"
1574735723.9489691,"(1243, 210)","(619, 189)","(568, 248)","(6416, 18, 443)"
1574735730.1173499,"(1191, 417)","(845, 334)","(717, 331)","(4263, 843, 1599)"
1574735736.1520922,"(1258, 402)","(821, 320)","(636, 343)","(4897, 1128, 1607)"
1574735742.1546195,"(1056, 387)","(960, 277)","(852, 212)","(2694, 640, 872)"
1574735748.3477888,"(1045, 473)","(1090, 305)","(863, 210)","(1758, 1218, 1057)"
1574735754.3556461,"(1272, 318)","(671, 286)","(554, 373)","(6308, 438, 1423)"
1574735760.373111,"(1087, 284)","(843, 214)","(813, 180)","(3646, 243, 405)"
1574735766.4049487,"(1153, 342)","(892, 247)","(761, 215)","(3650, 840, 761)"
1574735772.5521393,"(1253, 342)","(689, 304)","(587, 387)","(6005, 424, 1561)"
1574735778.7534525,"(1289, 245)","(639, 217)","(507, 293)","(6647, 384, 770)"
1574735784.9535005,"(1092, 504)","(1047, 339)","(831, 257)","(2223, 1271, 1439)"
1574735790.956185,"(1325, 205)","(643, 178)","(454, 246)","(6863, 611, 439)"
1574735796.947557,"(956, 460)","(1064, 320)","(927, 216)","(1567, 599, 1046)"
1574735803.1183949,"(960, 350)","(1090, 205)","(920, 117)","(1468, 752, 175)"
