snap_index,cam0x,cam0y,cam1x,cam1y,cam3x,camy3,robx,roby,robz
0,0.8453125,0.4875,0.115625,0.6270833333333333,0.8296875,0.8666666666666667,-0.6883398,-0.2795819,-0.4515815
1,0.8453125,0.4875,0.1171875,0.6291666666666667,0.8296875,0.86875,-0.68947506,-0.27666962,-0.4531943
2,0.8453125,0.4875,0.115625,0.6291666666666667,0.8296875,0.86875,-0.6906606,-0.27740633,-0.45277834
3,0.84375,0.4875,0.1171875,0.6291666666666667,0.8296875,0.86875,-0.68871045,-0.27578497,-0.45267856
4,0.84375,0.4875,0.115625,0.6291666666666667,0.8296875,0.86875,-0.689896,-0.27652174,-0.45226252
5,0.8453125,0.4875,0.1171875,0.6291666666666667,0.8296875,0.86875,-0.68947506,-0.27666962,-0.4531943
6,0.84375,0.4875,0.1171875,0.6291666666666667,0.8296875,0.86875,-0.68871045,-0.27578497,-0.45267856
7,0.84375,0.4875,0.115625,0.6291666666666667,0.8296875,0.86875,-0.689896,-0.27652174,-0.45226252
8,0.8453125,0.4875,0.1171875,0.6291666666666667,0.8296875,0.86875,-0.68947506,-0.27666962,-0.4531943
9,0.84375,0.4875,0.1171875,0.6291666666666667,0.8296875,0.86875,-0.68871045,-0.27578497,-0.45267856
10,0.84375,0.4875,0.1171875,0.6291666666666667,0.8296875,0.86875,-0.68871045,-0.27578497,-0.45267856
11,0.84375,0.4875,0.1171875,0.6291666666666667,0.8296875,0.86875,-0.68871045,-0.27578497,-0.45267856
12,0.84375,0.4875,0.115625,0.6291666666666667,0.8296875,0.86875,-0.689896,-0.27652174,-0.45226252
13,0.84375,0.4875,0.1171875,0.6291666666666667,0.8296875,0.86875,-0.68871045,-0.27578497,-0.45267856
14,0.8453125,0.4875,0.1171875,0.6291666666666667,0.8296875,0.86875,-0.68947506,-0.27666962,-0.4531943
15,0.8453125,0.4875,0.115625,0.6291666666666667,0.8296875,0.86875,-0.6906606,-0.27740633,-0.45277834
